bedrooms,property_type,locality,postal_code,kitchen,facades,price,furnished,terraceSurface,fireplace,buildingState,gardenSurface,pool,livingArea,surfaceOfThePlot,energy_certificate,province,buildingStateLabel
5.0,HOUSE,PELT,3910.0,1.0,2.0,295000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,194.0,499.0,E,Limburg,
4.0,HOUSE,Deerlijk,8540.0,0.0,,319000.0,0.0,0.0,0.0,TO_BE_DONE_UP,0.0,0.0,199.0,580.0,F,West Flanders,
3.0,HOUSE,Gent Drongen,9031.0,1.0,2.0,395000.0,0.0,0.0,0.0,TO_BE_DONE_UP,0.0,0.0,140.0,111.0,D,East Flanders,
5.0,HOUSE,Brakel,9660.0,1.0,,425000.0,0.0,0.0,0.0,JUST_RENOVATED,0.0,0.0,315.0,381.0,C,East Flanders,
2.0,APARTMENT,MOLENBEEK-SAINT-JEAN,1080.0,0.0,,225000.0,0.0,10.0,0.0,TO_BE_DONE_UP,0.0,0.0,88.0,,D,Brussels,
2.0,APARTMENT,BRASSCHAAT,2930.0,1.0,3.0,247000.0,0.0,4.0,0.0,GOOD,0.0,0.0,88.0,,D,Antwerp,
4.0,HOUSE,Ronse,9600.0,1.0,2.0,309000.0,0.0,12.0,0.0,JUST_RENOVATED,158.0,0.0,232.0,310.0,C,East Flanders,
3.0,HOUSE,Herzele,9550.0,1.0,4.0,369000.0,0.0,48.0,0.0,TO_BE_DONE_UP,270.0,0.0,152.0,720.0,F,East Flanders,
2.0,APARTMENT,Saint-Gilles,1060.0,1.0,,245000.0,0.0,4.0,0.0,GOOD,0.0,0.0,76.0,,E,Brussels,
2.0,APARTMENT,WILRIJK,2610.0,1.0,,299000.0,0.0,13.0,0.0,GOOD,0.0,0.0,105.0,,B,Antwerp,
2.0,APARTMENT,BERCHEM,2600.0,1.0,,389000.0,0.0,19.0,0.0,GOOD,0.0,0.0,125.0,,B,Antwerp,
3.0,HOUSE,KLUISBERGEN,9690.0,1.0,3.0,195000.0,0.0,0.0,0.0,GOOD,262.0,0.0,119.0,354.0,E,East Flanders,
2.0,APARTMENT,Ekeren,2180.0,1.0,3.0,205000.0,0.0,0.0,0.0,GOOD,0.0,0.0,78.0,,C,Antwerp,
2.0,APARTMENT,Ekeren,2180.0,1.0,3.0,205000.0,0.0,0.0,0.0,GOOD,0.0,0.0,78.0,,B,Antwerp,
4.0,HOUSE,Wezembeek-Oppem,1970.0,1.0,4.0,699000.0,0.0,10.0,0.0,TO_RENOVATE,250.0,0.0,195.0,682.0,F,Flemish Brabant,
1.0,APARTMENT,DEURNE,2100.0,1.0,3.0,139000.0,0.0,0.0,0.0,TO_BE_DONE_UP,0.0,0.0,69.0,,D,Antwerp,
2.0,APARTMENT,ANTWERPEN,2100.0,1.0,3.0,179000.0,0.0,0.0,0.0,GOOD,0.0,0.0,85.0,,C,Antwerp,
2.0,APARTMENT,MERKSEM,2170.0,1.0,3.0,179000.0,0.0,0.0,0.0,TO_BE_DONE_UP,0.0,0.0,83.0,,A,Antwerp,
3.0,APARTMENT,DEURNE,2100.0,1.0,3.0,195000.0,0.0,10.0,0.0,TO_BE_DONE_UP,0.0,0.0,106.0,,C,Antwerp,
2.0,APARTMENT,Ganshoren,1083.0,1.0,2.0,199000.0,0.0,2.0,0.0,TO_RENOVATE,0.0,0.0,82.0,,D,Brussels,
2.0,APARTMENT,ANTWERPEN,2050.0,1.0,,210000.0,0.0,8.0,0.0,GOOD,0.0,0.0,94.0,,B,Antwerp,
3.0,APARTMENT,DEURNE,2100.0,1.0,3.0,285000.0,0.0,4.0,0.0,AS_NEW,0.0,0.0,125.0,,E,Antwerp,
2.0,APARTMENT,UCCLE,1180.0,1.0,2.0,365000.0,0.0,9.0,0.0,GOOD,0.0,0.0,80.0,,F,Brussels,
2.0,APARTMENT,IXELLES,1050.0,1.0,2.0,695000.0,0.0,0.0,0.0,JUST_RENOVATED,0.0,0.0,150.0,,E,Brussels,
3.0,APARTMENT,DEURNE,2100.0,1.0,4.0,219000.0,0.0,0.0,0.0,GOOD,0.0,0.0,104.0,,C,Antwerp,
2.0,HOUSE,Grâce-Hollogne,4460.0,1.0,3.0,230000.0,0.0,40.0,0.0,JUST_RENOVATED,250.0,1.0,133.0,406.0,E,Liège,
3.0,APARTMENT,Berchem,2600.0,0.0,2.0,369000.0,0.0,0.0,0.0,JUST_RENOVATED,0.0,0.0,106.0,,B,Antwerp,
3.0,APARTMENT,Uccle,1180.0,1.0,3.0,649000.0,0.0,14.0,1.0,GOOD,0.0,0.0,155.0,,C,Brussels,
2.0,HOUSE,DESSEL,2480.0,1.0,4.0,219000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,134.0,919.0,F,Antwerp,
3.0,HOUSE,KAPELLE-OP-DEN-BOS,1880.0,1.0,3.0,349000.0,0.0,0.0,0.0,TO_BE_DONE_UP,0.0,0.0,195.0,585.0,E,Flemish Brabant,
4.0,HOUSE,Knokke-Heist,8300.0,1.0,3.0,1595000.0,0.0,0.0,0.0,GOOD,0.0,0.0,188.0,600.0,C,West Flanders,
3.0,HOUSE,SINT-PIETERS-LEEUW,1600.0,1.0,3.0,450000.0,0.0,10.0,0.0,JUST_RENOVATED,25.0,0.0,132.0,195.0,D,Flemish Brabant,
3.0,HOUSE,Auderghem,1160.0,1.0,3.0,625000.0,0.0,10.0,0.0,TO_RENOVATE,150.0,0.0,160.0,300.0,F,Brussels,
1.0,APARTMENT,Leuven,3000.0,0.0,,335000.0,0.0,14.0,0.0,GOOD,0.0,0.0,77.0,,B,Flemish Brabant,
2.0,APARTMENT,Brussels,1000.0,1.0,2.0,430000.0,0.0,17.0,0.0,AS_NEW,0.0,0.0,185.0,,D,Brussels,
4.0,HOUSE,Liège,4020.0,1.0,2.0,119900.0,0.0,42.0,0.0,GOOD,0.0,0.0,147.0,111.0,F,Liège,
2.0,HOUSE,LIER,2500.0,1.0,3.0,320000.0,0.0,28.0,0.0,GOOD,108.0,0.0,124.0,365.0,D,Antwerp,
4.0,HOUSE,Bouwel,2288.0,1.0,4.0,575000.0,0.0,0.0,1.0,TO_RENOVATE,2351.0,0.0,308.0,2578.0,F,Antwerp,
2.0,APARTMENT,Woluwe-Saint-Pierre,1150.0,1.0,2.0,455000.0,0.0,0.0,0.0,AS_NEW,0.0,0.0,110.0,,G,Brussels,
2.0,APARTMENT,Gent,9000.0,1.0,,595000.0,0.0,100.0,0.0,GOOD,0.0,0.0,103.0,,C,East Flanders,
2.0,APARTMENT,DEURNE,2100.0,1.0,3.0,217500.0,0.0,6.0,0.0,AS_NEW,0.0,0.0,90.0,,B,Antwerp,
2.0,APARTMENT,Deurne,2100.0,1.0,2.0,219500.0,0.0,0.0,0.0,AS_NEW,50.0,0.0,83.0,,D,Antwerp,
3.0,APARTMENT,WOMMELGEM,2160.0,1.0,,249000.0,0.0,4.0,0.0,GOOD,0.0,0.0,99.0,,A,Antwerp,
2.0,APARTMENT,DEURNE,2100.0,1.0,2.0,190000.0,0.0,0.0,0.0,GOOD,0.0,0.0,94.0,,B,Antwerp,
2.0,APARTMENT,Auderghem,1160.0,1.0,3.0,380000.0,0.0,4.0,0.0,AS_NEW,0.0,0.0,80.0,,C,Brussels,
2.0,HOUSE,ALLEUR,4432.0,1.0,2.0,229000.0,0.0,0.0,0.0,AS_NEW,214.0,0.0,108.0,280.0,G,Liège,
3.0,HOUSE,Herzele,9550.0,1.0,3.0,309000.0,0.0,40.0,0.0,GOOD,1400.0,0.0,200.0,1614.0,D,East Flanders,
4.0,HOUSE,Brakel,9660.0,1.0,,329000.0,0.0,14.0,0.0,GOOD,0.0,0.0,347.0,250.0,C,East Flanders,
3.0,HOUSE,AALST,9300.0,1.0,2.0,350000.0,0.0,0.0,0.0,GOOD,0.0,0.0,251.0,504.0,F,East Flanders,
3.0,APARTMENT,Borgerhout,2140.0,1.0,3.0,269000.0,0.0,0.0,0.0,GOOD,0.0,0.0,136.0,,D,Antwerp,
3.0,HOUSE,Oudenaarde,9700.0,1.0,2.0,279000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,165.0,331.0,F,East Flanders,
2.0,APARTMENT,DEURNE,2100.0,1.0,4.0,210000.0,0.0,4.0,0.0,GOOD,0.0,0.0,96.0,,B,Antwerp,
2.0,APARTMENT,Brecht,2960.0,1.0,2.0,269000.0,0.0,18.0,0.0,GOOD,0.0,0.0,91.0,,B,Antwerp,
4.0,HOUSE,Serskamp,9260.0,1.0,3.0,298000.0,0.0,0.0,0.0,GOOD,0.0,0.0,145.0,342.0,C,East Flanders,
3.0,HOUSE,Lochristi,9080.0,1.0,,394000.0,0.0,0.0,0.0,GOOD,0.0,0.0,130.0,236.0,D,East Flanders,
3.0,HOUSE,Langdorp,3201.0,1.0,4.0,545000.0,0.0,0.0,0.0,GOOD,0.0,0.0,211.0,1026.0,B,Flemish Brabant,
4.0,HOUSE,Woluwe-Saint-Pierre,1150.0,0.0,3.0,745000.0,0.0,0.0,1.0,TO_RENOVATE,0.0,0.0,230.0,0.0,G,Brussels,
2.0,APARTMENT,MERKSEM,2170.0,1.0,3.0,234000.0,0.0,0.0,0.0,AS_NEW,0.0,0.0,107.0,,B,Antwerp,
2.0,APARTMENT,Borgerhout,2140.0,1.0,,249000.0,0.0,3.0,0.0,JUST_RENOVATED,0.0,0.0,85.0,,B,Antwerp,
5.0,HOUSE,Bouillon,6830.0,1.0,2.0,199000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,200.0,72.0,B,Luxembourg,
3.0,HOUSE,Leest,2811.0,1.0,4.0,345000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,203.0,1725.0,E,Antwerp,
4.0,HOUSE,SINT-KATELIJNE-WAVER,2860.0,1.0,3.0,365000.0,0.0,48.0,0.0,GOOD,41.0,0.0,313.0,302.0,C,Antwerp,
