"WOLUWE-SAINT-LAMBERT","12,6%","","50.8485 4.431","Sint-Lambrechts-Woluwe"
"WOLUWE-SAINT-PIERRE","9,3%","","50.8335 4.4505","Sint-Pieters-Woluwe"
"ASSE","9,3%","","50.9085 4.1745","Asse"
"BEERSEL","6,1%","","50.7504 4.3019","Beersel"
"BIEVENE","5,4%","","50.711 3.9315","Bever"
"DILBEEK","7,9%","","50.8534 4.234","Dilbeek"
"GAMMERAGES","4,3%","","50.7505 3.9915","Galmaarden"
"GOOIK","4,6%","","50.7809 4.0958","Gooik"
"GRIMBERGEN","8,3%","","50.9445 4.3764","Grimbergen"
"HAL","6,8%","","50.7264 4.237","Halle"
"HERNE","3,8%","","50.7225 4.0375","Herne"
"HOEILAART","5,0%","","50.7612 4.4509","Hoeilaart"
"KAMPENHOUT","3,9%","","50.94 4.544","Kampenhout"
"KAPELLE-OP-DEN-BOS","5,3%","","51 4.355","Kapelle-op-den-Bos"
"LIEDEKERKE","5,7%","","50.8667 4.0932","Liedekerke"
"LONDERZEEL","5,7%","","51.0107 4.2765","Londerzeel"
"MACHELEN","9,2%","","50.9027 4.444","Machelen"
"MEISE","7,0%","","50.961 4.3158","Meise"
"MERCHTEM","6,8%","","50.9514 4.2471","Merchtem"
"OPWIJK","6,0%","","50.9605 4.1715","Opwijk"
"OVERIJSE","5,7%","","50.7713 4.5328","Overijse"
"PEPINGEN","4,9%","","50.7442 4.1477","Pepingen"
"SINT-PIETERS-LEEUW","8,8%","","50.7885 4.2435","Sint-Pieters-Leeuw"
"STEENOKKERZEEL","5,0%","","50.9209 4.4992","Steenokkerzeel"
"TERNAT","5,5%","","50.8655 4.1795","Ternat"
"VILVORDE","9,8%","","50.9302 4.4337","Vilvoorde"
"ZAVENTEM","8,6%","","50.8711 4.4866","Zaventem"
"ZEMST","3,4%","","50.978 4.449","Zemst"
"ROOSDAAL","4,1%","","50.835 4.096","Roosdaal"
"DROGENBOS","10,6%","","50.7934 4.309","Drogenbos"
"KRAAINEM","6,3%","","50.8456 4.4714","Kraainem"
"LINKEBEEK","8,8%","","50.7679 4.3454","Linkebeek"
"RHODE-SAINT-GENESE","7,7%","","50.7443 4.3734","Sint-Genesius-Rode"
"WEMMEL","10,1%","","50.909 4.3085","Wemmel"
"WEZEMBEEK-OPPEM","7,2%","","50.844 4.4935","Wezembeek-Oppem"
"LENNIK","4,9%","","50.8133 4.1636","Lennik"
"AFFLIGEM","4,7%","","50.9042 4.1159","Affligem"
"AARSCHOT","5,4%","","50.989 4.8646","Aarschot"
"BEGIJNENDIJK","4,0%","","51.007 4.7846","Begijnendijk"
"BEKKEVOORT","6,4%","","50.9345 4.9779","Bekkevoort"
"BERTEM","5,4%","","50.8539 4.6097","Bertem"
"BIERBEEK","4,2%","","50.83 4.7673","Bierbeek"
"BOORTMEERBEEK","4,0%","","50.9805 4.5625","Boortmeerbeek"
"BOUTERSEM","3,6%","","50.831 4.837","Boutersem"
"DIEST","7,1%","","50.9965 5.0485","Diest"
"GEETBETS","6,5%","","50.8915 5.1312","Geetbets"
"HAACHT","4,0%","","50.964 4.6414","Haacht"
"HERENT","4,8%","","50.9125 4.6325","Herent"
