iter	Passed	Remaining
421	2269	5797
422	2273	5788
423	2279	5785
424	2286	5782
425	2292	5779
426	2297	5772
427	2302	5766
428	2308	5763
429	2314	5758
430	2317	5748
431	2322	5742
432	2328	5737
433	2333	5730
434	2338	5724
435	2342	5716
436	2346	5708
437	2351	5701
438	2356	5695
439	2362	5691
440	2368	5687
441	2371	5677
442	2377	5672
443	2383	5667
444	2388	5663
445	2392	5653
446	2397	5648
447	2404	5645
448	2410	5642
449	2415	5636
450	2421	5631
451	2426	5625
452	2431	5620
453	2435	5610
454	2440	5604
455	2443	5594
456	2447	5586
457	2451	5577
458	2454	5566
459	2460	5562
460	2464	5555
461	2468	5546
462	2471	5536
463	2476	5528
464	2480	5521
465	2485	5515
466	2489	5505
467	2493	5497
468	2499	5494
469	2515	5513
470	2527	5521
471	2540	5533
472	2554	5545
473	2563	5549
474	2570	5547
475	2576	5543
476	2582	5539
477	2591	5540
478	2596	5534
479	2602	5529
480	2609	5528
481	2616	5526
482	2620	5517
483	2626	5512
484	2630	5505
485	2635	5498
486	2640	5492
487	2646	5487
488	2652	5484
489	2657	5478
490	2664	5474
491	2669	5468
492	2672	5459
493	2679	5456
494	2683	5447
495	2686	5438
496	2691	5430
497	2696	5426
498	2703	5422
499	2709	5418
500	2714	5413
501	2718	5405
502	2722	5396
503	2727	5389
504	2732	5384
505	2738	5378
506	2744	5375
507	2751	5372
508	2755	5364
509	2759	5357
510	2765	5352
511	2769	5344
512	2773	5336
513	2777	5327
514	2781	5320
515	2786	5314
516	2790	5305
517	2793	5295
518	2798	5289
519	2803	5283
520	2806	5273
521	2810	5265
522	2814	5258
523	2821	5254
524	2825	5246
525	2827	5235
526	2832	5230
527	2837	5224
528	2842	5218
529	2848	5212
530	2853	5206
531	2856	5197
532	2861	5191
533	2866	5185
534	2870	5177
535	2874	5169
536	2879	5163
537	2883	5155
538	2887	5147
539	2891	5139
540	2896	5135
541	2901	5128
542	2906	5121
543	2911	5117
544	2915	5108
545	2920	5102
546	2923	5093
547	2929	5088
548	2934	5083
549	2939	5077
550	2942	5068
551	2946	5060
552	2951	5054
553	2955	5045
554	2960	5041
555	2965	5035
556	2969	5028
557	2974	5021
558	2979	5016
559	2983	5008
560	2989	5003
561	2995	4998
562	3001	4996
563	3008	4992
564	3014	4988
565	3017	4979
566	3021	4972
567	3027	4967
568	3032	4961
569	3036	4954
570	3040	4946
571	3045	4941
572	3051	4936
573	3056	4930
574	3059	4921
575	3063	4914
576	3070	4910
577	3075	4906
578	3080	4899
579	3085	4894
580	3089	4887
581	3094	4881
582	3097	4871
583	3100	4863
584	3105	4857
585	3110	4851
586	3115	4845
587	3119	4838
588	3124	4832
589	3129	4826
590	3134	4821
591	3151	4834
592	3164	4839
593	3174	4842
594	3185	4845
595	3197	4849
596	3204	4846
597	3212	4845
598	3221	4845
599	3229	4844
600	3236	4840
601	3241	4835
602	3250	4835
603	3255	4829
604	3263	4827
605	3270	4824
606	3274	4817
607	3281	4814
608	3287	4809
609	3292	4804
610	3299	4800
611	3303	4793
612	3308	4787
613	3313	4781
614	3317	4774
615	3322	4768
616	3328	4763
617	3332	4755
618	3337	4749
619	3342	4743
