iter	RMSE
290	204704.0389
291	204453.642
292	204303.3056
293	204158.682
294	203986.1366
295	203956.4888
296	203787.0097
297	203692.1946
298	203635.4982
299	203572.8385
300	203299.3749
301	203115.7454
302	203037.3433
303	202811.1628
304	202562.0671
305	202536.8847
306	202466.1184
307	202360.9266
308	202184.7496
309	202164.51
310	202041.3394
311	201904.4701
312	201650.3773
313	201609.4729
314	201547.9419
315	201425.3949
316	201318.9607
317	201284.1679
318	201089.2008
319	200800.8454
320	200665.001
321	200505.3327
322	200422.5948
323	200224.3813
324	200146.4559
325	199781.5358
326	199527.4624
327	199428.2934
328	199358.0084
329	199296.7642
330	199148.5594
331	199041.711
332	198953.7456
333	198873.5401
334	198744.7883
335	198615.8625
336	198377.0306
337	198273.1719
338	198211.5349
339	198154.0474
340	197886.0949
341	197811.4375
342	197714.6671
343	197631.2752
344	197556.9597
345	197384.3314
346	197258.7676
347	197174.6661
348	197037.8035
349	197025.4036
350	196777.8627
351	196703.6275
352	196586.6494
353	196448.3787
354	196397.5652
355	196325.2851
356	196287.9625
357	196254.9709
358	196215.2662
359	196196.459
360	196025.0054
361	195993.7762
362	195870.3053
363	195849.5946
364	195789.4007
365	195618.0662
366	195478.9201
367	195424.7188
368	195318.0459
369	195185.2362
370	194934.6862
371	194849.7271
372	194665.2487
373	194637.373
374	194547.6744
375	194442.0118
376	194266.0366
377	194179.9427
378	194124.3476
379	194106.1277
380	193950.2676
381	193852.4839
382	193696.6007
383	193596.4178
384	193553.0417
385	193490.4895
386	193464.5548
387	193278.418
388	193225.2395
389	193098.5567
390	193050.4721
391	192899.2341
392	192762.9193
393	192696.9906
394	192632.1697
395	192463.3766
396	192385.4299
397	192161.1842
398	192126.6873
399	192063.7329
400	191913.3379
401	191895.3848
402	191739.2634
403	191652.606
404	191505.8313
405	191419.3969
406	191350.7743
407	191294.1775
408	191193.2343
409	191085.0002
410	191026.562
411	190895.7313
412	190563.0812
413	190496.5758
414	190452.267
415	190304.4727
416	190235.1415
417	190145.4901
418	190102.7123
419	189791.5138
420	189738.598
421	189502.37
422	189459.6044
423	189368.5117
424	189332.8721
425	189239.8448
426	189084.6668
427	189025.7183
428	188957.8015
429	188858.5916
430	188707.3926
431	188623.5229
432	188601.8214
433	188467.1704
434	188431.9411
435	188390.7751
436	188260.6189
437	188162.4429
438	188115.854
439	188083.5735
440	188070.15
441	188003.8019
442	187874.0847
443	187675.4307
444	187553.598
445	187497.8041
446	187415.6181
447	187327.7557
448	187227.6463
449	187078.1474
450	187060.9307
451	186961.6441
452	186858.3914
453	186775.1728
454	186747.6073
455	186699.8372
456	186677.0868
457	186526.3504
458	186480.5686
459	186317.7386
460	186297.7701
461	186160.2499
462	186159.5343
463	186128.385
464	186127.7663
465	186027.2484
466	185900.6451
467	185821.9232
468	185751.3727
469	185719.3685
470	185649.8194
471	185601.7667
472	185316.5715
473	185195.4592
474	185156.4347
475	185156.0875
476	185080.4369
477	185014.4965
478	185011.8515
479	184940.7724
480	184651.3822
481	184600.3962
482	184402.0592
483	184401.6849
484	184389.1513
485	184330.0272
486	184243.6578
487	184243.3153
488	184135.6175
489	184135.3745
490	184113.3649
491	184109.944
492	184018.4351
493	183896.8264
494	183795.4675
495	183680.4911
496	183599.5074
497	183486.547
498	183469.3617
499	183388.9808
